Date,Vinh Yen,Hoa Binh,Kim Boi,Son Tay,Lao Cai,Son La,Ba Vi,Lang,Tuan Giao,Muong Lay,Ha Giang,Tuyen Quang,Yen Bai,Vu Quang,Bac Me,Chiem Hoa,Hung Yen,Luc Nam,Chu,Mai Chau
2000-03-25 00:00:00,1.3,0.3,1.0,1.8,0.0,0.0,1.8,0.5,0.0,0,0.2,0.0,0.0,0.0,0.4,0.0,0.1,0.0,0.0,0.0
2000-03-26 00:00:00,0,0.0,0.2,0.0,0.0,0.0,0.3,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0
2000-03-27 00:00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-28 00:00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-29 00:00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-30 00:00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-31 00:00:00,0.8,0.2,0.5,0.7,6.5,5.3,0.4,0.1,20.2,13.9,0.4,4.2,6.5,0.0,2.2,3.0,0.3,0.0,0.0,0.0
2000-04-01 00:00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-02 00:00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-03 00:00:00,0,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.7,0.0,0.0,0.0,0.4,0.0,1.9,0.0,0.0,0.0
2000-04-04 00:00:00,0,1.6,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.7
2000-04-05 00:00:00,0,1.2,1.1,2.3,0.0,0.0,2.3,0.6,0.0,0,0.1,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
2000-04-06 00:00:00,0,0.2,0.0,0.0,16.2,0.0,0.0,0.0,0.4,0.2,9.6,2.0,16.2,0.0,3.9,1.4,0.0,0.0,0.0,0.1
2000-04-07 00:00:00,0,0.4,0.1,0.0,0.6,0.0,0.4,0.0,0.0,0,0.5,4.5,0.6,0.8,0.0,0.0,0.3,0.0,0.0,0.0
2000-04-08 00:00:00,0.1,0.4,1.1,0.9,1.4,0.0,0.8,2.6,0.0,0,1.9,0.5,1.4,2.2,1.4,1.2,0.1,0.0,0.0,0.0
2000-04-09 00:00:00,14,0.0,0.0,0.0,0.8,0.0,0.0,0.0,8.2,0,2.5,4.7,0.8,0.0,0.6,1.4,0.0,0.0,0.0,0.0
2000-04-10 00:00:00,4.3,1.6,1.4,1.0,33.5,0.0,2.1,2.4,1.4,55.6,0.0,8.2,33.5,3.6,0.2,39.4,0.0,0.3,2.0,0.0
2000-04-11 00:00:00,8.3,28.9,8.8,15.2,5.5,16.7,30.3,5.3,13.6,0.5,0.8,1.3,5.5,8.8,1.6,5.7,1.3,0.0,0.0,18.2
2000-04-12 00:00:00,0,15.2,0.3,1.9,2.0,1.6,1.4,0.1,4.6,11.1,0.0,0.0,0.2,0.7,0.1,0.2,0.1,0.0,0.0,7.1
2000-04-13 00:00:00,0.7,21.0,18.2,4.0,0.0,0.1,2.4,6.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.2,5.5
2000-04-14 00:00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-15 00:00:00,3.2,2.5,25.2,19.7,38.5,2.9,0.6,6.8,13.1,2.5,5.7,1.3,38.5,4.7,4.9,8.3,31.2,0.0,2.5,2.6
2000-04-16 00:00:00,0.3,0.1,0.0,0.1,0.8,4.4,0.0,0.0,4.0,2,0.0,0.0,0.8,0.0,0.0,0.1,0.7,0.0,0.0,0.0
2000-04-17 00:00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-18 00:00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
